shape, chamfer_dist
ShapeNetV2/04256520/21f76612b56d67edf54efb4962ed3879, 0.00017034811675137066
ShapeNetV2/04256520/23cb1d667213c3a7e897e87345fc323b, 8.575652635088192e-05
ShapeNetV2/04256520/240b9fc8d34f3af17e20865350fdf369, 0.0007992610830218404
ShapeNetV2/04256520/241876321940a2c976e9713f57a5fcb6, 0.00012670289336104827
ShapeNetV2/04256520/2459280764bc155554a99e49f597fe94, 4.189961318411929e-05
ShapeNetV2/04256520/24f5497f13a1841adb039d8689a74349, 0.00018788561429427235
ShapeNetV2/04256520/23833969c0011b8e98494085d68ad6a0, 3.2672271287848314e-05
ShapeNetV2/04256520/24f03d70f686533d7583d8e3d877fffd, 0.00016296495163163762
ShapeNetV2/04256520/288837a47f55c0e9d8d964adc0b6502a, 7.152040543562945e-05
ShapeNetV2/04256520/2a9da31660f0c0b73505e48e4fe20c28, 0.00021449616061281726
ShapeNetV2/04256520/2aa0288017b4e249f6a7b03b801e1d47, 4.158340893342965e-05
ShapeNetV2/04256520/2b64dbb623899dec7bdbd1926dd38bdb, 0.0013228145754858678
ShapeNetV2/04256520/2d1dbcb6802bf2017879e882bea3b8aa, 6.940249807768229e-05
ShapeNetV2/04256520/2f87e4958b3c1d80b5da5256e41fa569, 0.0006330173854792855
ShapeNetV2/04256520/317850f9c80cafb561bfbba8a5defb02, 0.0003198726100705009
ShapeNetV2/04256520/3247d4bf8bbcbeb6840bf649c20f40cb, 0.00012886258573179446
ShapeNetV2/04256520/33d6c09be1a1a88a48fda83c10428379, 6.186299552650064e-05
ShapeNetV2/04256520/33ee49115aa7125ddc37657f7fe19edb, 0.00015135879217549405
ShapeNetV2/04256520/34a2341fbd255d82b8a06a6203bc49a9, 0.00011893480061645983
ShapeNetV2/04256520/34df668babda666f7b0a2c22acd10794, 9.119259060874983e-05
ShapeNetV2/04256520/361b60c0143d91c3593ebeeedbff73b, 0.0001933243833506786
ShapeNetV2/04256520/36d4a1a290c541aa21d25a6a55757584, 0.0002026699719903613
ShapeNetV2/04256520/37cbc18323826bfb19fb4103277a6b93, 0.00041226724868850535
ShapeNetV2/04256520/388b70afc2bff624fe7ce990d81a91ec, 0.0002676821033316084
ShapeNetV2/04256520/3a62563bdb750b988b83086412477462, 5.228497396701044e-05
ShapeNetV2/04256520/3ac6d1680c7e0ba4fb315ce917a9ec2, 0.0016848543964078201
ShapeNetV2/04256520/411444708e41ec314b3c42e318f3affc, 7.757604393723728e-05
ShapeNetV2/04256520/4198c7de2a9f450bf07fee5fc5c45ee2, 0.0002965744685615614
ShapeNetV2/04256520/4307657b2731fd392c37553db37ec752, 6.887207420055674e-05
ShapeNetV2/04256520/4424a906da6fd4c961bf0ba277ea473b, 4.433996679215315e-05
ShapeNetV2/04256520/469a61462432d5521625c754b61476d2, 9.34200657729139e-05
ShapeNetV2/04256520/4820b629990b6a20860f0fe00407fa79, 3.5840777100602735e-05
ShapeNetV2/04256520/4aba95b774b2cc2233ea3991d83e660a, 0.00016257871977074106
ShapeNetV2/04256520/4b3f84ca13baf80be0c381fdfcdec36d, 9.5781107699412e-05
ShapeNetV2/04256520/4b9c06e04d329213843ead12644a79bb, 4.823216616423396e-05
ShapeNetV2/04256520/4d5adaaa9b5d9d42ef188758bf2e3a30, 4.097389075328392e-05
ShapeNetV2/04256520/4e25ae1d1ce18c4a40ef1c8b63a628f9, 0.00013575992471564718
ShapeNetV2/04256520/4b86c8d86e181ed8f51f77a6d7299806, 0.000365776055121842
ShapeNetV2/04256520/50a4aa069dcd171937b2bb75885cfc44, 0.0002449091638098705
ShapeNetV2/04256520/523516236632fbc8c799384bc2c5517c, 0.0001410046910894487
ShapeNetV2/04256520/572da8680677fe8937b2bb75885cfc44, 0.0001312773169712571
ShapeNetV2/04256520/58d4563bd1114e6a76e9713f57a5fcb6, 0.00012646779517654856
ShapeNetV2/04256520/5b3b26c9ec974a1cdef028ff6a07adf4, 5.94141659628266e-05
ShapeNetV2/04256520/5c66c3e86a131bb969c8f7b0ff61e3de, 0.000146061041313754
ShapeNetV2/04256520/5cc8f84b9b53b30bdfa4ff010b8b9d1c, 0.00010562863761091265
ShapeNetV2/04256520/5eb193a332576b775e333fe3dd3959a5, 0.0001322968654606843
ShapeNetV2/04256520/5f5150a80e5be6159141f9b58470d646, 2.8328558597220333e-05
