shape, chamfer_dist
ShapeNetV2/04256520/21f76612b56d67edf54efb4962ed3879, 0.00013602770220557108
ShapeNetV2/04256520/23cb1d667213c3a7e897e87345fc323b, 0.00010314562506840954
ShapeNetV2/04256520/240b9fc8d34f3af17e20865350fdf369, 0.00010003248891340681
ShapeNetV2/04256520/241876321940a2c976e9713f57a5fcb6, 0.00012732412793948865
ShapeNetV2/04256520/2459280764bc155554a99e49f597fe94, 4.5756071995942235e-05
ShapeNetV2/04256520/24f5497f13a1841adb039d8689a74349, 0.00019856417193648876
ShapeNetV2/04256520/23833969c0011b8e98494085d68ad6a0, 3.236922596340839e-05
ShapeNetV2/04256520/24f03d70f686533d7583d8e3d877fffd, 9.841698140551164e-05
ShapeNetV2/04256520/288837a47f55c0e9d8d964adc0b6502a, 5.399718576920416e-05
ShapeNetV2/04256520/2a9da31660f0c0b73505e48e4fe20c28, 0.00021612393845851996
ShapeNetV2/04256520/2aa0288017b4e249f6a7b03b801e1d47, 4.5826046046969926e-05
ShapeNetV2/04256520/2b64dbb623899dec7bdbd1926dd38bdb, 5.998000146773981e-05
ShapeNetV2/04256520/2d1dbcb6802bf2017879e882bea3b8aa, 0.0001130853180138091
ShapeNetV2/04256520/2f87e4958b3c1d80b5da5256e41fa569, 0.0024300959318179103
ShapeNetV2/04256520/317850f9c80cafb561bfbba8a5defb02, 0.0004497994340374401
ShapeNetV2/04256520/3247d4bf8bbcbeb6840bf649c20f40cb, 4.232487046308457e-05
ShapeNetV2/04256520/33d6c09be1a1a88a48fda83c10428379, 0.00013107157898021557
ShapeNetV2/04256520/33ee49115aa7125ddc37657f7fe19edb, 0.00019137554094267892
ShapeNetV2/04256520/34a2341fbd255d82b8a06a6203bc49a9, 0.0001270415443164982
ShapeNetV2/04256520/34df668babda666f7b0a2c22acd10794, 3.108938494637139e-05
ShapeNetV2/04256520/361b60c0143d91c3593ebeeedbff73b, 9.303149248799296e-05
ShapeNetV2/04256520/36d4a1a290c541aa21d25a6a55757584, 0.0002789252080603744
ShapeNetV2/04256520/37cbc18323826bfb19fb4103277a6b93, 0.0003704178128920337
ShapeNetV2/04256520/388b70afc2bff624fe7ce990d81a91ec, 0.00011099907261078173
ShapeNetV2/04256520/3a62563bdb750b988b83086412477462, 2.308574437206922e-05
ShapeNetV2/04256520/3ac6d1680c7e0ba4fb315ce917a9ec2, 0.0008283891539537462
ShapeNetV2/04256520/411444708e41ec314b3c42e318f3affc, 7.852839985161356e-05
ShapeNetV2/04256520/4198c7de2a9f450bf07fee5fc5c45ee2, 3.9359938555305754e-05
ShapeNetV2/04256520/4307657b2731fd392c37553db37ec752, 5.0283899421999646e-05
ShapeNetV2/04256520/4424a906da6fd4c961bf0ba277ea473b, 4.565585498948371e-05
ShapeNetV2/04256520/469a61462432d5521625c754b61476d2, 9.500698423306274e-05
ShapeNetV2/04256520/4820b629990b6a20860f0fe00407fa79, 3.445908787366356e-05
ShapeNetV2/04256520/4aba95b774b2cc2233ea3991d83e660a, 0.000135427858365906
ShapeNetV2/04256520/4b3f84ca13baf80be0c381fdfcdec36d, 0.00013344680220806144
ShapeNetV2/04256520/4b9c06e04d329213843ead12644a79bb, 4.6322338630374475e-05
ShapeNetV2/04256520/4d5adaaa9b5d9d42ef188758bf2e3a30, 4.894242548153219e-05
ShapeNetV2/04256520/4e25ae1d1ce18c4a40ef1c8b63a628f9, 0.00015173785539418218
ShapeNetV2/04256520/4b86c8d86e181ed8f51f77a6d7299806, 7.75269552682759e-05
ShapeNetV2/04256520/50a4aa069dcd171937b2bb75885cfc44, 0.0001972993772697093
ShapeNetV2/04256520/523516236632fbc8c799384bc2c5517c, 0.00011661172110370198
ShapeNetV2/04256520/572da8680677fe8937b2bb75885cfc44, 0.0001715985951333907
ShapeNetV2/04256520/58d4563bd1114e6a76e9713f57a5fcb6, 0.000103070772069735
ShapeNetV2/04256520/5b3b26c9ec974a1cdef028ff6a07adf4, 7.275479342249604e-05
ShapeNetV2/04256520/5c66c3e86a131bb969c8f7b0ff61e3de, 0.00010379711167332164
ShapeNetV2/04256520/5cc8f84b9b53b30bdfa4ff010b8b9d1c, 0.00010450325910243537
ShapeNetV2/04256520/5eb193a332576b775e333fe3dd3959a5, 0.00012586232023701794
