shape, chamfer_dist
ShapeNetV2/04256520/21f76612b56d67edf54efb4962ed3879, 0.00013074533139033077
ShapeNetV2/04256520/23cb1d667213c3a7e897e87345fc323b, 8.011660231715017e-05
ShapeNetV2/04256520/240b9fc8d34f3af17e20865350fdf369, 0.0005388363937678937
ShapeNetV2/04256520/241876321940a2c976e9713f57a5fcb6, 0.00012162587103148766
ShapeNetV2/04256520/2459280764bc155554a99e49f597fe94, 4.158038968475773e-05
ShapeNetV2/04256520/24f5497f13a1841adb039d8689a74349, 0.00018690969559141975
ShapeNetV2/04256520/23833969c0011b8e98494085d68ad6a0, 3.22649852922502e-05
ShapeNetV2/04256520/24f03d70f686533d7583d8e3d877fffd, 0.0002592533018419353
ShapeNetV2/04256520/288837a47f55c0e9d8d964adc0b6502a, 8.435831875409648e-05
ShapeNetV2/04256520/2a9da31660f0c0b73505e48e4fe20c28, 0.0002353655099142681
ShapeNetV2/04256520/2aa0288017b4e249f6a7b03b801e1d47, 4.15514425735427e-05
ShapeNetV2/04256520/2b64dbb623899dec7bdbd1926dd38bdb, 0.0006963142352536603
ShapeNetV2/04256520/2d1dbcb6802bf2017879e882bea3b8aa, 7.570482414036532e-05
ShapeNetV2/04256520/2f87e4958b3c1d80b5da5256e41fa569, 0.0021724666514392754
ShapeNetV2/04256520/317850f9c80cafb561bfbba8a5defb02, 0.0003284547093180654
ShapeNetV2/04256520/3247d4bf8bbcbeb6840bf649c20f40cb, 9.079883981674897e-05
ShapeNetV2/04256520/33d6c09be1a1a88a48fda83c10428379, 7.732680548691555e-05
ShapeNetV2/04256520/33ee49115aa7125ddc37657f7fe19edb, 0.0001566608327836979
ShapeNetV2/04256520/34a2341fbd255d82b8a06a6203bc49a9, 0.00011810426620244069
ShapeNetV2/04256520/34df668babda666f7b0a2c22acd10794, 3.883176066354392e-05
ShapeNetV2/04256520/361b60c0143d91c3593ebeeedbff73b, 9.488683864335e-05
ShapeNetV2/04256520/36d4a1a290c541aa21d25a6a55757584, 0.00012707326317379494
ShapeNetV2/04256520/37cbc18323826bfb19fb4103277a6b93, 0.0003581016317093069
ShapeNetV2/04256520/388b70afc2bff624fe7ce990d81a91ec, 0.00022151745136629627
ShapeNetV2/04256520/3a62563bdb750b988b83086412477462, 5.3434840711613326e-05
ShapeNetV2/04256520/3ac6d1680c7e0ba4fb315ce917a9ec2, 0.0006608647473830636
ShapeNetV2/04256520/411444708e41ec314b3c42e318f3affc, 7.559981123856296e-05
ShapeNetV2/04256520/4198c7de2a9f450bf07fee5fc5c45ee2, 0.00029833914293232787
ShapeNetV2/04256520/4307657b2731fd392c37553db37ec752, 0.0001363636379952988
ShapeNetV2/04256520/4424a906da6fd4c961bf0ba277ea473b, 4.479371492765655e-05
ShapeNetV2/04256520/469a61462432d5521625c754b61476d2, 0.00010475535342528724
ShapeNetV2/04256520/4820b629990b6a20860f0fe00407fa79, 3.630461610177372e-05
ShapeNetV2/04256520/4aba95b774b2cc2233ea3991d83e660a, 0.00020263195052303343
ShapeNetV2/04256520/4b3f84ca13baf80be0c381fdfcdec36d, 8.950739870678799e-05
ShapeNetV2/04256520/4b9c06e04d329213843ead12644a79bb, 7.642154599022102e-05
ShapeNetV2/04256520/4d5adaaa9b5d9d42ef188758bf2e3a30, 4.3359301531921e-05
ShapeNetV2/04256520/4e25ae1d1ce18c4a40ef1c8b63a628f9, 0.00012485766506171206
ShapeNetV2/04256520/4b86c8d86e181ed8f51f77a6d7299806, 0.0002296698877408879
ShapeNetV2/04256520/50a4aa069dcd171937b2bb75885cfc44, 0.0001708784164553438
ShapeNetV2/04256520/523516236632fbc8c799384bc2c5517c, 0.00011577025970052328
ShapeNetV2/04256520/572da8680677fe8937b2bb75885cfc44, 0.00011922252193930481
ShapeNetV2/04256520/58d4563bd1114e6a76e9713f57a5fcb6, 9.812790809117848e-05
ShapeNetV2/04256520/5b3b26c9ec974a1cdef028ff6a07adf4, 5.3403845547258644e-05
ShapeNetV2/04256520/5c66c3e86a131bb969c8f7b0ff61e3de, 0.00012552283764508858
ShapeNetV2/04256520/5cc8f84b9b53b30bdfa4ff010b8b9d1c, 9.649319630557622e-05
